ID,Время создания,Вы За или Против включения рождественской музыки в Атриуме,Включать музыку утром и/или вечером? / Утром,Включать музыку утром и/или вечером? / Вечером,Если вы За включение рождественской музыки - прикрепите в ответе ссылки на атмосферные песни/плейлисты на Яндекс.Музыке или плейлисты на YouTube,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 18 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 19 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 20 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 21 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 22 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 23 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 24 декабря,По какую дату будем включать рождественскую музыку в Атриуме? / По 1 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 2 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 3 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 4 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 5 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 6 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 7 января,"Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 7 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 8 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 9 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 10 часов до 12 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 17 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 18 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 19 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 20 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 21 часа до 22 часов"
1561384441,2023-12-01 22:58:51,За включение музыки,Утром,Вечером,https://music.yandex.ru/users/Morozova.alisa.2001/playlists/1003?utm_medium=copy_link,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,,,с 19 часов до 22 часов,,
1561193289,2023-12-01 18:19:41,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,С 9 часов до 12 часов,,с 17 часов до 22 часов,,,,
1560933713,2023-12-01 13:34:09,За включение музыки,Утром,Вечером,https://music.yandex.ru/album/6425403/track/47354734?utm_medium=copy_link,,,,С 21 декабря,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,,,с 19 часов до 22 часов,,
1560825413,2023-12-01 11:38:59,За включение музыки,,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1560699620,2023-12-01 09:24:59,За включение музыки,,Вечером,"https://youtube.com/playlist?list=PLtZ6yiYzu2i1Upl2BYu6TNSh6ED2vUNET&si=2DXevqru-fstu-QX

",,,,,,,С 24 декабря,,,,,,,По 7 января,,,,,,,,с 20 часов до 22 часов,
1560680391,2023-12-01 09:00:15,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,По 3 января,,,,,,,С 9 часов до 12 часов,,с 17 часов до 22 часов,,,,
1560667610,2023-12-01 08:43:38,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1560664588,2023-12-01 08:39:41,За включение музыки,,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,,,с 19 часов до 22 часов,,
1560650172,2023-12-01 08:19:35,За включение музыки,Утром,Вечером,"Предлагаю музыку из Гарри Поттера)))
И в целом по кампусу предлагаю что-то типа такого  включать на умеренную громкость- сильно повышает концентрацию (и будет чуть перебивать маты некоторых пиров): https://youtu.be/TZrt8Ktl8hk?si=f5EDHGFejD-WwP9-",,,С 20 декабря,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1560478894,2023-12-01 00:25:42,За включение музыки,,Вечером,,,,,С 21 декабря,,,,,,По 3 января,,,,,,,,,,,с 19 часов до 22 часов,,
1560218525,2023-11-30 18:59:27,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,,,с 19 часов до 22 часов,,
1560049648,2023-11-30 16:04:51,За включение музыки,,Вечером,,,,С 20 декабря,,,,,,,,,,,По 7 января,,,,,,с 18 часов до 22 часов,,,
1560040782,2023-11-30 15:56:42,За включение музыки,,Вечером,,С 18 декабря,С 19 декабря,С 20 декабря,С 21 декабря,С 22 декабря,С 23 декабря,С 24 декабря,,,,,По 5 января,,,,,,,с 17 часов до 22 часов,с 18 часов до 22 часов,с 19 часов до 22 часов,с 20 часов до 22 часов,с 21 часа до 22 часов
1560026878,2023-11-30 15:44:22,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1560004448,2023-11-30 15:25:44,За включение музыки,Утром,Вечером,https://youtu.be/E8gmARGvPlI?si=japeiLODiJsxwkM1 ну это база,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,,,,,с 21 часа до 22 часов
1559941904,2023-11-30 14:31:44,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559927289,2023-11-30 14:19:22,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559908247,2023-11-30 14:02:40,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559904869,2023-11-30 13:59:54,За включение музыки,,Вечером,"Frank Sinatra
Abba
Дискотека Авария
Wham!
Stevie Wonder
Elton John
Три белых коня!",С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559904657,2023-11-30 13:59:42,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,,,,,с 21 часа до 22 часов
1559900467,2023-11-30 13:56:09,За включение музыки,,Вечером,Вот и помер дед Максим ,,,,,,,С 24 декабря,По 1 января,,,,,,,,,,,,,,с 20 часов до 22 часов,
1559896772,2023-11-30 13:53:02,За включение музыки,,Вечером,"https://youtu.be/E8gmARGvPlI?si=Hw-pxLsH7zbHuu4_
https://youtu.be/aQkPcPqTq4M?si=v-DsNuTK38mNyMll
https://youtu.be/Y7Ps5BQ6htk?si=rU4oG0aRxSQuK2I0",,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559883658,2023-11-30 13:41:59,За включение музыки,Утром,Вечером,,,,,,,,С 24 декабря,,,,По 4 января,,,,,С 8 часов до 12 часов,,,с 17 часов до 22 часов,,,,
1559882597,2023-11-30 13:41:06,За включение музыки,,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559881314,2023-11-30 13:39:59,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559881191,2023-11-30 13:39:52,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559881068,2023-11-30 13:39:46,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559880991,2023-11-30 13:39:42,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559880922,2023-11-30 13:39:38,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559880857,2023-11-30 13:39:35,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559880787,2023-11-30 13:39:31,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559880443,2023-11-30 13:39:14,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559878300,2023-11-30 13:37:25,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,С 9 часов до 12 часов,С 10 часов до 12 часов,,,с 19 часов до 22 часов,с 20 часов до 22 часов,
1559871244,2023-11-30 13:31:29,За включение музыки,Утром,,,,,,,,,С 24 декабря,,,По 3 января,,,,,С 7 часов до 12 часов,С 8 часов до 12 часов,С 9 часов до 12 часов,С 10 часов до 12 часов,,,,,
1559860599,2023-11-30 13:22:10,За включение музыки,,Вечером,,,,,,С 22 декабря,,,,,,,,,По 7 января,,,,,,с 18 часов до 22 часов,,,
1559855755,2023-11-30 13:18:06,За включение музыки,Утром,Вечером,"
https://youtu.be/E8gmARGvPlI?feature=shared

https://youtu.be/3Uo0JAUWijM?feature=shared

https://youtu.be/92cwKCU8Z5c?feature=shared",С 18 декабря,,,,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,с 17 часов до 22 часов,,,,
1559853808,2023-11-30 13:16:25,За включение музыки,Утром,Вечером,https://youtu.be/h8SZtcq1COU?si=LAlZ5VUcFIeBpKBT,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,,,с 19 часов до 22 часов,,
1559852091,2023-11-30 13:14:51,За включение музыки,Утром,Вечером,https://www.youtube.com/watch?v=t039p6xqutU,С 18 декабря,,,,,,,,,,,По 5 января,,,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559851316,2023-11-30 13:14:11,За включение музыки,Утром,Вечером,"https://music.yandex.ru/album/335551
https://music.yandex.ru/users/newyearplaylists/playlists/1272",,,,С 21 декабря,,,,,,По 3 января,,,,,,,,С 10 часов до 12 часов,,,,с 20 часов до 22 часов,
1559848006,2023-11-30 13:11:17,За включение музыки,Утром,Вечером,,,,,,,,С 24 декабря,,,,,,,По 7 января,,,,С 10 часов до 12 часов,,,с 19 часов до 22 часов,,
1559846108,2023-11-30 13:09:37,За включение музыки,,Вечером,https://music.yandex.com/album/19237390/track/661632?utm_medium=copy_link,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559844437,2023-11-30 13:08:09,За включение музыки,Утром,Вечером,https://youtu.be/hz_gOFRwTcg?si=3GY4xjDSYl4wOrnM,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,,с 18 часов до 22 часов,,,
1559838812,2023-11-30 13:03:00,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559836798,2023-11-30 13:01:13,За включение музыки,Утром,,"https://www.youtube.com/watch?v=bMWhEo043Zk&ab_channel=SleepingAtLast
https://www.youtube.com/watch?v=Rz-W8vObPzk&ab_channel=C418-Topic
https://www.youtube.com/watch?v=g7wbAYtUjDw&ab_channel=SYML
https://www.youtube.com/watch?v=sBSC8eQVpsU&ab_channel=TheChordettes-Topic
https://www.youtube.com/watch?v=ynYKTJuvpl8&ab_channel=Seycara
",,,,,,,С 24 декабря,,,По 3 января,,,,,,,,С 10 часов до 12 часов,,,,,
1559833276,2023-11-30 12:58:09,За включение музыки,,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
